type,name,notice,furigana
燃えるごみ,アイスノン,,あ
燃えるごみ,アルバム,,あ
燃えるごみ,安全靴,,あ
燃えるごみ,生花スポンジ（オアシス）,,い
燃えるごみ,板,指定袋に入らないものは直接搬入。直接搬入の時は、幅９０ｃｍ、長さ２ｍ、太さ１０ｃｍ以内。,い
燃えるごみ,衣類,直接持ち込む場合は、ひもで十文字に縛って出す。きれいなものは衣類回収へ。,い
燃えるごみ,入れ歯,,い
燃えるごみ,印鑑（はん）,,い
燃えるごみ,インクリボン,,い
燃えるごみ,浮き輪,,う
燃えるごみ,うちわ,,う
燃えるごみ,ウレタンマット,,う
燃えるごみ,枝・木（少量）,指定袋に入る大きさに切る。,え
燃えるごみ,絵の具,,え
燃えるごみ,MDディスク,,え
燃えるごみ,塩ビ管,なるべく小さくして出す。,え
燃えるごみ,おしゃぶり,,お
燃えるごみ,おまる,,お
燃えるごみ,おもちゃ,金属製のものは燃えないごみ。電池は抜いて出す。,お
燃えるごみ,カーテン,指定袋に入らない物は直接搬入。きれいなものは衣類回収へ。,か
燃えるごみ,カーボン紙,,か
燃えるごみ,カーラー,,か
燃えるごみ,貝殻,,か
燃えるごみ,カセットテープ,,か
燃えるごみ,カッパ（雨具）,,か
燃えるごみ,かつら,,か
燃えるごみ,かばん,指定袋に入らない物は直接搬入。きれいなものは衣類回収へ。,か
燃えるごみ,画板,,か
燃えるごみ,紙おむつ,汚物は必ずトイレに流す。,か
燃えるごみ,紙粘土,,か
燃えるごみ,紙パック（中が銀色の物）,,か
燃えるごみ,ガムテープ,,か
燃えるごみ,カラーボックス（木製）,指定袋に入らない物は直接搬入。,か
燃えるごみ,革製品,,か
燃えるごみ,乾燥剤,,か
燃えるごみ,感熱紙,,か
燃えるごみ,木くず（少量）,,き
燃えるごみ,キャッシュカード類,,き
燃えるごみ,クーラーボックス,指定袋に入らないものは直接搬入。,く
燃えるごみ,草（少量）,枯らしてから出す。,く
燃えるごみ,くし（木製・プラスチック製）,金属製のものは燃えないごみ。,く
燃えるごみ,靴,きれいな物は衣類回収へ。,く
燃えるごみ,クッキングペーパー,,く
燃えるごみ,クッション,指定袋に入らない物は直接搬入。,く
燃えるごみ,首輪,,く
燃えるごみ,クリアファイル,,く
燃えるごみ,クリーニング用ビニール,,く
燃えるごみ,クレヨン（クレパス、クーピー等）,,く
燃えるごみ,グローブ,,く
燃えるごみ,軍手,,く
燃えるごみ,毛糸,,け
燃えるごみ,ゲートボールスティック（木製）,,け
燃えるごみ,ゲームソフト,電子基盤がついているものは不燃ごみ。,け
燃えるごみ,消しゴム,,け
燃えるごみ,玄関マット,金属製は燃えないごみ。,け
燃えるごみ,氷枕,,こ
燃えるごみ,ゴーグル,,こ
燃えるごみ,ござ,,こ
燃えるごみ,コップ（紙・プラスチック製）,ガラス製は燃えないごみ。,こ
燃えるごみ,ゴム製品,,こ
燃えるごみ,ゴムホース,１ｍ程度に切断する。,こ
燃えるごみ,コンタクトレンズ,,こ
燃えるごみ,裁縫箱,,さ
燃えるごみ,サインペン,金属製は燃えないごみ。,さ
燃えるごみ,座布団,指定袋に入らないものは直接搬入。,さ
燃えるごみ,サンダル,きれいな物は衣類回収へ。,さ
燃えるごみ,シーツ,きれいな物は衣類回収へ。,し
燃えるごみ,CD・CDケース,,し
燃えるごみ,地下足袋,,し
燃えるごみ,磁気カード,,し
燃えるごみ,竹刀,袋に入る大きさに切る。,し
燃えるごみ,シャープペン,,し
燃えるごみ,写真・写真のネガ,,し
燃えるごみ,しゃもじ,,し
